trace,bucket,bucket_label,full_eligible,selected_window,mapped_trace
Philly,under_10m,<10 min,0.4101559537952127,0.3333333333333333,0.25
Philly,under_1h,<1 hour,0.7980057124080581,0.7833333333333333,0.95
Philly,under_6h,<6 hours,0.9524934913934737,0.9833333333333333,1.0
Philly,under_1d,<1 day,0.9829891565351465,1.0,1.0
Saturn,under_10m,<10 min,0.6830878443233688,0.7333333333333333,0.25
Saturn,under_1h,<1 hour,0.8807945419264845,0.95,0.95
Saturn,under_6h,<6 hours,0.9802642027994725,1.0,1.0
Saturn,under_1d,<1 day,0.9952386871344423,1.0,1.0
Venus,under_10m,<10 min,0.6150429152236109,0.5333333333333333,0.25
Venus,under_1h,<1 hour,0.8225166892536264,0.8666666666666667,0.95
Venus,under_6h,<6 hours,0.9188877177131958,0.8666666666666667,1.0
Venus,under_1d,<1 day,0.9757566631531396,0.95,1.0
